Date,AAPL,AMZN,BA,CAT,CVX,DUK,F,GOOGL,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,V,WMT,XOM
2000-01-03,0.8392805457115173,4.46875,25.940284729003906,12.574047088623047,15.875275611877441,12.939193725585938,11.484943389892578,,23.55460548400879,23.01384162902832,13.710579872131348,35.6014404296875,0.08942016959190369,11.650894165039062,27.024208068847656,,14.239624977111816,17.255529403686523
2000-01-04,0.7685209512710571,4.096875190734863,25.899938583374023,12.412423133850098,15.875275611877441,13.140312194824219,11.101200103759766,,22.692251205444336,22.508878707885742,13.72578239440918,34.398841857910156,0.08703258633613586,11.216837882995605,26.504222869873047,,13.706799507141113,16.92501449584961
2000-01-05,0.7797667384147644,3.487499952316284,27.51363182067871,12.70334243774414,16.1600399017334,13.67665958404541,11.142308235168457,,22.931791305541992,22.369932174682617,13.847378730773926,34.76152420043945,0.08416734635829926,11.399596214294434,25.99997329711914,,13.427070617675781,17.847700119018555
2000-01-06,0.7122868895530701,3.278125047683716,27.796035766601562,13.349822998046875,16.84819793701172,14.045393943786621,11.156017303466797,,23.650419235229492,22.68752098083496,13.862581253051758,33.597076416015625,0.07867518067359924,11.810805320739746,27.197555541992188,,13.573599815368652,18.77037239074707
2000-01-07,0.746027410030365,3.4781250953674316,28.602874755859375,13.786194801330566,17.144826889038086,14.414130210876465,11.978328704833984,,24.656471252441406,23.104354858398438,14.774596214294434,34.0361328125,0.07998909056186676,12.610373497009277,29.37211036682129,,14.599279403686523,18.715288162231445
2000-01-10,0.7329062819480896,3.4593749046325684,28.199474334716797,13.333657264709473,16.682096481323242,14.397361755371094,11.75904369354248,,24.033666610717773,22.70738983154297,14.303387641906738,34.28428268432617,0.08261504769325256,12.58753490447998,29.230268478393555,,14.332867622375488,18.45363426208496
2000-01-11,0.6954172849655151,3.3375000953674316,27.675006866455078,13.123550415039062,16.527847290039062,14.213001251220703,11.443832397460938,,24.113513946533203,22.171457290649414,14.789789199829102,33.40618133544922,0.07927203923463821,12.427618026733398,29.68724250793457,,14.119743347167969,18.50872230529785
2000-01-12,0.6537113189697266,3.1781249046325684,27.796035766601562,13.349822998046875,16.46853256225586,14.380605697631836,11.772750854492188,,23.889942169189453,22.31039810180664,14.957000732421875,32.318115234375,0.07724302262067795,12.838826179504395,29.498149871826172,,13.866642951965332,18.398550033569336
2000-01-13,0.7254080176353455,3.296875,27.35228729248047,13.495279312133789,16.622766494750977,14.497930526733398,11.635701179504395,,23.858009338378906,22.647829055786133,14.728999137878418,32.9289436340332,0.0804658904671669,13.524168968200684,28.993900299072266,,13.87997055053711,18.825458526611328
2000-01-14,0.7530561089515686,3.2125000953674316,28.401180267333984,13.430628776550293,16.5159854888916,14.598494529724121,11.347883224487305,,23.9378662109375,23.461639404296875,14.850597381591797,34.28428268432617,0.08392801135778427,13.524168968200684,29.498149871826172,,13.746766090393066,18.45363426208496
2000-01-18,0.7792980670928955,3.206249952316284,29.04665184020996,12.994765281677246,16.954980850219727,14.36384391784668,11.896098136901855,,23.331026077270508,22.548574447631836,15.808213233947754,35.219661712646484,0.08751031011343002,13.341415405273438,29.48238754272461,,13.973214149475098,18.673974990844727
2000-01-19,0.7989802956581116,3.340625047683716,30.741056442260742,12.832130432128906,16.69396209716797,14.76610279083252,11.717930793762207,,23.410860061645508,23.541040420532227,15.869013786315918,32.6807861328125,0.08667409420013428,13.524168968200684,29.16827392578125,,13.65351676940918,18.85300636291504
2000-01-20,0.850996196269989,3.237499952316284,30.014894485473633,12.262890815734863,16.610902786254883,14.967228889465332,11.450676918029785,,23.49071502685547,23.521188735961914,16.021011352539062,32.37537384033203,0.0864357054233551,13.301436424255371,28.457239151000977,,13.507000923156738,18.439863204956055
2000-01-21,0.8345947265625,3.1031250953674316,29.490428924560547,12.327950477600098,16.812610626220703,15.151590347290039,11.060077667236328,,22.96373748779297,23.163904190063477,16.26421546936035,31.688159942626953,0.08548033237457275,12.815979957580566,25.960702896118164,,13.307186126708984,18.729066848754883
2000-01-24,0.7966373562812805,3.5062499046325684,28.602874755859375,11.791250228881836,16.86006736755371,15.352724075317383,11.210835456848145,,21.382783889770508,23.183753967285156,15.77780818939209,30.924583435058594,0.08166056871414185,12.564689636230469,26.071321487426758,,12.654484748840332,18.56380271911621
2000-01-25,0.8416237831115723,3.4625000953674316,29.490428924560547,11.352121353149414,16.812610626220703,15.302438735961914,10.991555213928223,,21.78200912475586,23.6998348236084,16.021011352539062,31.401813507080078,0.08094354718923569,12.747435569763184,24.649250030517578,,13.027457237243652,18.522489547729492
2000-01-26,0.8261594772338867,3.2406249046325684,29.813159942626953,11.693659782409668,16.658370971679688,15.369478225708008,10.525577545166016,,21.334871292114258,24.910625457763672,15.337005615234375,30.351903915405273,0.07760060578584671,12.747435569763184,25.439289093017578,,13.2006254196167,18.398550033569336
2000-01-27,0.8247538208961487,3.346874952316284,29.087003707885742,11.596081733703613,16.005794525146484,15.520326614379883,10.950438499450684,,20.568355560302734,25.625194549560547,14.470588684082031,30.161014556884766,0.073541559278965,12.610373497009277,26.30833625793457,,12.601198196411133,17.847700119018555
2000-01-28,0.761959969997406,3.0843749046325684,28.804611206054688,11.319588661193848,15.67357349395752,15.285686492919922,10.853533744812012,,21.590391159057617,24.3548526763916,13.847378730773926,30.008304595947266,0.07139328867197037,12.861664772033691,25.36027717590332,,11.74869441986084,17.379457473754883
2000-01-31,0.7778925895690918,3.2281250953674316,28.723915100097656,11.043107032775879,15.875275611877441,15.486797332763672,11.019657135009766,,21.989604949951172,25.625194549560547,13.968984603881836,29.893768310546875,0.0707964152097702,13.227190017700195,25.549894332885742,,11.6687650680542,18.260831832885742
2000-02-01,0.7516503930091858,3.371875047683716,28.23979949951172,11.238275527954102,15.792219161987305,15.43652057647705,11.033498764038086,,21.670225143432617,26.597797393798828,14.136186599731445,31.43999671936035,0.07246696949005127,13.524168968200684,25.154865264892578,,12.507960319519043,18.329692840576172
2000-02-02,0.7408720850944519,3.471874952316284,28.804611206054688,11.303326606750488,15.685447692871094,15.168353080749512,10.77047061920166,,21.813947677612305,26.16111946105957,13.710579872131348,30.790956497192383,0.07449693977832794,13.15865707397461,24.93366050720215,,12.441359519958496,18.467405319213867
2000-02-03,0.7746123671531677,4.209374904632568,28.03809928894043,11.010581970214844,15.460007667541504,15.051029205322266,10.798155784606934,,21.286964416503906,26.419145584106445,13.43697452545166,31.649986267089844,0.07569073140621185,13.021580696105957,24.72824478149414,,12.441359519958496,18.150657653808594
2000-02-04,0.8097583651542664,3.9281249046325684,28.401180267333984,11.010581970214844,14.914217948913574,14.430887222290039,10.645872116088867,,20.98354721069336,25.962621688842773,13.680180549621582,32.54716873168945,0.07748141139745712,13.067275047302246,23.95401382446289,,12.001776695251465,17.820152282714844
2000-02-07,0.8552134037017822,3.75,26.98919105529785,10.734095573425293,15.009140968322754,14.229757308959961,10.618185997009277,,20.807880401611328,26.101560592651367,13.832189559936523,32.56627655029297,0.07270622998476028,13.524168968200684,23.574798583984375,,11.881892204284668,17.792606353759766
2000-02-08,0.8613056540489197,4.15625,26.464733123779297,10.669042587280273,14.8667573928833,14.36384391784668,10.65971851348877,,20.967588424682617,27.014638900756836,13.908180236816406,33.578006744384766,0.07616844773292542,13.821151733398438,24.20682144165039,,12.681126594543457,17.393232345581055
2000-02-09,0.8444348573684692,4.012499809265137,25.260025024414062,10.181130409240723,14.237920761108398,14.07258129119873,10.45206069946289,,20.440603256225586,26.319900512695312,13.862581253051758,31.764535903930664,0.07807831466197968,13.204340934753418,23.764392852783203,,12.321467399597168,16.895246505737305
2000-02-10,0.850996196269989,3.809375047683716,25.745803833007812,9.904642105102539,14.58200454711914,13.852429389953613,10.410531044006348,,19.929584503173828,26.39930534362793,13.786585807800293,32.37537384033203,0.09407613426446915,12.793133735656738,23.11656379699707,,12.148299217224121,16.812149047851562
2000-02-11,0.8153813481330872,3.809375047683716,25.826757431030273,9.367938995361328,14.048081398010254,13.869362831115723,10.216717720031738,,19.857145309448242,26.240510940551758,13.512977600097656,30.523712158203125,0.09550918638706207,12.793133735656738,23.701189041137695,,11.948498725891113,16.368995666503906
2000-02-14,0.8683343529701233,3.721874952316284,24.774259567260742,10.051017761230469,14.012490272521973,13.95403003692627,10.4243745803833,,19.90521812438965,25.10910987854004,13.163369178771973,30.42827033996582,0.11079006642103195,12.793133735656738,23.2271785736084,,12.547924041748047,16.936792373657227
2000-02-15,0.8922335505485535,3.690624952316284,24.936185836791992,10.408823013305664,14.712515830993652,13.767748832702637,10.2720947265625,,20.434104919433594,25.74428939819336,13.543380737304688,30.103742599487305,0.10649259388446808,12.998735427856445,24.20682144165039,,12.361432075500488,17.573822021484375
2000-02-16,0.8556816577911377,3.534374952316284,24.126558303833008,10.19739055633545,14.89677906036377,13.852429389953613,10.258249282836914,,20.466156005859375,25.248056411743164,13.026572227478027,29.81740951538086,0.11138691753149033,12.367532730102539,23.77625274658203,,11.242507934570312,17.726154327392578
2000-02-17,0.8613056540489197,3.450000047683716,24.28848648071289,10.067280769348145,14.884808540344238,13.987895965576172,10.161344528198242,,20.305891036987305,24.89077377319336,12.722567558288574,30.42827033996582,0.11532678455114365,12.459144592285156,23.811811447143555,,10.310076713562012,17.25530433654785
2000-02-18,0.8341264724731445,3.237499952316284,23.31694793701172,9.807062149047852,14.585688591003418,14.004833221435547,9.60759162902832,,19.857145309448242,23.739530563354492,12.494568824768066,29.034757614135742,0.12869861721992493,12.459144592285156,23.673547744750977,,10.176871299743652,16.61827278137207
2000-02-22,0.8533385992050171,3.1781249046325684,25.17905616760254,9.96969985961914,14.489960670471191,13.716952323913574,9.759870529174805,,20.161643981933594,24.53349494934082,12.585769653320312,28.652965545654297,0.12511642277240753,12.275924682617188,23.479990005493164,,10.256792068481445,16.71521759033203
2000-02-23,0.8716145753860474,3.5218749046325684,24.04559326171875,9.839588165283203,14.02331829071045,13.47986888885498,9.52452564239502,,19.520572662353516,24.57318115234375,12.464167594909668,28.78658103942871,0.12583336234092712,12.459144592285156,22.911157608032227,,10.017021179199219,16.535181045532227
2000-02-24,0.8637652397155762,3.421875,23.681276321411133,9.432992935180664,13.6763277053833,13.107311248779297,9.41378116607666,,18.911563873291016,24.13651466369629,12.114559173583984,28.939302444458008,0.12463957071304321,12.115599632263184,22.37393569946289,,10.203509330749512,16.133575439453125
2000-02-25,0.8275653123855591,3.456249952316284,24.49088478088379,9.367938995361328,13.604531288146973,12.836353302001953,9.5106840133667,,18.46281623840332,24.096811294555664,11.840950965881348,27.889392852783203,0.11687906831502914,11.863672256469727,21.520687103271484,,9.484201431274414,15.74581527709961
2000-02-28,0.8491214513778687,3.2874999046325684,23.964641571044922,9.254091262817383,14.274591445922852,13.124239921569824,9.455307006835938,,18.655134201049805,24.751829147338867,11.992960929870605,27.965747833251953,0.11604375392198563,11.794965744018555,22.34231948852539,,9.843855857849121,16.285907745361328
2000-02-29,0.8594314455986023,3.4437499046325684,23.92415428161621,9.123984336853027,14.298515319824219,13.141173362731934,9.219964981079102,,18.46281623840332,25.287744522094727,11.825754165649414,27.29763412475586,0.12225110083818436,11.772065162658691,22.21592903137207,,10.389996528625488,16.687503814697266
2000-03-01,0.977051317691803,3.293750047683716,23.519344329833984,9.07519245147705,14.406208038330078,13.02263355255127,9.21304702758789,,18.815399169921875,26.04203224182129,12.403363227844238,27.73667335510254,0.11866975575685501,11.680451393127441,22.31073570251465,,10.443276405334473,16.853689193725586
2000-03-02,0.9147272706031799,3.128124952316284,23.276466369628906,8.961343765258789,14.489960670471191,13.039567947387695,9.164589881896973,,18.895540237426758,25.585485458374023,12.068952560424805,28.519344329833984,0.11067081242799759,11.726263046264648,22.07372283935547,,10.77629566192627,17.061431884765625
2000-03-03,0.9597133994102478,3.125,23.276466369628906,9.465521812438965,14.274591445922852,13.378255844116211,9.455307006835938,,18.847463607788086,25.764129638671875,12.19056510925293,29.359268188476562,0.11246148496866226,11.955282211303711,22.35811996459961,,11.215868949890137,16.770606994628906
2000-03-06,0.9423748254776001,3.1968750953674316,22.750219345092773,9.546841621398926,14.166898727416992,13.310516357421875,9.289183616638184,,18.078163146972656,26.49855613708496,11.916953086853027,27.67940902709961,0.11174539476633072,11.61174488067627,22.10531234741211,,10.762968063354492,16.161264419555664
2000-03-07,0.9212875366210938,3.174999952316284,22.50734519958496,8.798709869384766,15.507012367248535,12.988762855529785,9.109213829040527,,17.565317153930664,25.98247718811035,11.460951805114746,28.36663246154785,0.15914200246334076,10.993365287780762,15.421579360961914,,10.136906623840332,17.726154327392578
2000-03-08,0.9147272706031799,3.1812500953674316,21.616750717163086,9.091451644897461,15.518978118896484,12.904088020324707,9.427618980407715,,18.206388473510742,25.08926773071289,11.552156448364258,29.187463760375977,0.16045497357845306,11.886576652526855,14.663134574890137,,10.2967529296875,17.643064498901367
